timestamp;value
2022-09-14 13:06:09;2.45
2022-09-14 15:06:08;2.61
2022-09-14 17:06:08;2.81
2022-09-14 19:06:08;2.72
2022-09-14 21:06:08;2.99
2022-09-14 23:06:08;2.6
2022-09-15 01:06:08;2.47
2022-09-15 03:06:12;1.61
2022-09-15 05:06:12;1.59
2022-09-15 07:06:11;2.07
2022-09-15 09:06:11;2.38
2022-09-15 11:06:10;2.43
2022-09-15 13:06:09;2.74
2022-09-15 15:06:09;2.43
2022-09-15 17:06:09;2.88
2022-09-15 19:06:09;3.01
2022-09-15 21:06:09;3.02
2022-09-15 23:06:09;2.95
2022-09-16 01:06:08;2.54
2022-09-16 03:06:13;1.68
2022-09-16 05:06:12;1.71
2022-09-16 07:06:12;2.26
2022-09-16 09:06:12;2.42
2022-09-16 11:06:10;2.78
2022-09-16 13:06:10;2.64
2022-09-16 15:06:10;2.87
2022-09-16 17:06:10;2.66
2022-09-16 19:06:09;2.7
2022-09-16 21:06:10;3.02
2022-09-16 23:06:09;3.01
2022-09-17 01:06:09;2.93
2022-09-17 03:06:13;1.87
2022-09-17 05:06:13;1.92
2022-09-17 07:06:12;1.78
2022-09-17 09:06:12;1.96
2022-09-17 11:06:10;2.21
2022-09-17 13:06:10;2.51
2022-09-17 15:06:09;2.6
2022-09-17 17:06:10;2.41
2022-09-17 19:06:10;2.65
2022-09-17 21:06:10;2.72
2022-09-17 23:06:10;2.7
2022-09-18 01:06:10;2.83
2022-09-18 03:06:13;2.54
2022-09-18 05:06:13;1.72
2022-09-18 07:06:13;1.55
2022-09-18 09:06:12;1.85
2022-09-18 11:06:11;2.53
2022-09-18 13:06:10;2.49
2022-09-18 15:06:10;2.57
2022-09-18 17:06:10;2.8
2022-09-18 19:06:09;2.91
2022-09-18 21:06:10;2.87
2022-09-18 23:06:09;2.79
2022-09-19 01:06:09;2.41
2022-09-19 03:06:13;1.68
2022-09-19 05:06:12;1.74
2022-09-19 07:06:12;2.11
2022-09-19 09:06:11;2.54
2022-09-19 11:06:11;2.56
2022-09-19 13:06:10;2.9
2022-09-19 15:06:09;2.49
2022-09-19 17:06:10;2.66
2022-09-19 19:06:10;2.66
2022-09-19 21:06:10;2.92
2022-09-19 23:06:09;2.91
2022-09-20 01:06:09;2.62
2022-09-20 03:06:13;1.87
2022-09-20 05:06:13;1.72
2022-09-20 07:06:12;1.78
2022-09-20 09:06:11;2.3
2022-09-20 11:06:11;2.37
2022-09-20 13:06:11;2.71
2022-09-20 15:06:10;2.66
2022-09-20 17:06:10;2.81
2022-09-20 19:06:09;2.96
2022-09-20 21:06:10;2.98
2022-09-20 23:06:09;2.87
2022-09-21 01:06:09;2.75
2022-09-21 03:06:13;1.9
2022-09-21 05:06:13;1.65
2022-09-21 07:06:12;2.04
2022-09-21 09:06:12;2.59
2022-09-21 11:06:10;2.43
2022-09-21 13:06:10;2.82
2022-09-21 15:06:09;2.77
2022-09-21 17:06:09;2.58
2022-09-21 19:06:10;2.58
2022-09-21 21:06:09;2.96
2022-09-21 23:06:09;3.07
2022-09-22 01:06:09;2.79
2022-09-22 03:06:13;1.69
2022-09-22 05:06:13;1.85
2022-09-22 07:06:13;2.1
2022-09-22 09:06:11;2.48
2022-09-22 11:06:10;2.69
2022-09-22 13:06:09;2.58
2022-09-22 15:06:10;2.49
2022-09-22 17:06:09;2.84
2022-09-22 19:06:09;2.85
2022-09-22 21:06:09;2.86
2022-09-22 23:06:09;2.96
2022-09-23 01:06:10;2.73
2022-09-23 03:06:13;1.54
2022-09-23 05:06:13;1.61
2022-09-23 07:06:13;2.18
2022-09-23 09:06:12;2.59
2022-09-23 11:06:11;2.62
2022-09-23 13:06:09;2.74
2022-09-23 15:06:09;2.53
2022-09-23 17:06:09;2.66
2022-09-23 19:06:09;2.99
2022-09-23 21:06:10;2.71
2022-09-23 23:06:09;2.86
2022-09-24 01:06:09;2.62
2022-09-24 03:06:12;1.56
2022-09-24 05:06:12;1.53
2022-09-24 07:06:12;1.62
2022-09-24 09:06:11;2.34
2022-09-24 11:06:11;2.84
2022-09-24 13:06:11;3.04
2022-09-24 15:06:10;2.79
2022-09-24 17:06:10;2.63
2022-09-24 19:06:10;2.83
2022-09-24 21:06:09;2.68
2022-09-24 23:06:09;2.53
2022-09-25 01:06:09;2.9
2022-09-25 03:06:12;2.39
2022-09-25 05:06:12;1.67
2022-09-25 07:06:12;1.63
2022-09-25 09:06:11;2.03
2022-09-25 11:06:11;2.66
2022-09-25 13:06:10;2.49
2022-09-25 15:06:09;2.73
2022-09-25 17:06:10;3.07
2022-09-25 19:06:09;2.89
2022-09-25 21:06:10;2.92
2022-09-25 23:06:09;2.77
2022-09-26 01:06:09;2.29
2022-09-26 03:06:13;1.75
2022-09-26 05:06:13;1.62
2022-09-26 07:06:12;1.99
2022-09-26 09:06:12;2.3
2022-09-26 11:06:11;2.64
2022-09-26 13:06:11;2.93
2022-09-26 15:06:11;2.56
2022-09-26 17:06:11;2.92
2022-09-26 19:06:10;2.8
2022-09-26 21:06:10;2.99
2022-09-26 23:06:10;3.18
2022-09-27 01:06:10;2.84
2022-09-27 03:06:13;1.59
2022-09-27 05:06:13;1.72
2022-09-27 07:06:12;1.8
2022-09-27 09:06:12;2.48
2022-09-27 11:06:11;2.24
2022-09-27 13:06:11;2.6
2022-09-27 15:06:10;2.56
2022-09-27 17:06:10;2.9
2022-09-27 19:06:09;2.83
2022-09-27 21:06:09;3.01
2022-09-27 23:06:10;2.75
2022-09-28 01:06:10;2.74
2022-09-28 03:06:13;1.86
2022-09-28 05:06:12;1.72
2022-09-28 07:06:12;1.9
2022-09-28 09:06:12;2.44
2022-09-28 11:06:11;2.89
2022-09-28 13:06:10;3.08
2022-09-28 15:06:11;2.89
2022-09-28 17:06:10;3.03
2022-09-28 19:06:10;3.17
2022-09-28 21:06:10;2.91
2022-09-28 23:06:10;2.77
2022-09-29 01:06:09;2.7
2022-09-29 03:06:12;1.75
2022-09-29 05:06:12;1.55
2022-09-29 07:06:12;2.21
