timestamp;value
2022-08-16 19:06:07;2.79
2022-08-16 21:06:08;2.89
2022-08-16 23:06:08;2.69
2022-08-17 01:06:07;2.75
2022-08-17 03:06:10;2.21
2022-08-17 05:06:10;1.44
2022-08-17 07:06:10;1.68
2022-08-17 09:06:09;2.0
2022-08-17 11:06:09;2.53
2022-08-17 13:06:08;2.59
2022-08-17 15:06:08;2.47
2022-08-17 17:06:07;2.63
2022-08-17 19:06:07;2.73
2022-08-17 21:06:08;2.77
2022-08-17 23:06:07;2.79
2022-08-18 01:06:07;2.69
2022-08-18 03:06:11;2.2
2022-08-18 05:06:10;1.67
2022-08-18 07:06:11;1.82
2022-08-18 09:06:09;2.04
2022-08-18 11:06:08;2.75
2022-08-18 13:06:07;2.52
2022-08-18 15:06:07;2.63
2022-08-18 17:06:07;2.68
2022-08-18 19:06:06;2.48
2022-08-18 21:06:07;2.84
2022-08-18 23:06:07;2.84
2022-08-19 01:06:07;2.53
2022-08-19 03:06:10;2.26
2022-08-19 05:06:10;1.45
2022-08-19 07:06:10;1.9
2022-08-19 09:06:10;1.92
2022-08-19 11:06:09;2.44
2022-08-19 13:06:08;2.46
2022-08-19 15:06:08;2.44
2022-08-19 17:06:08;2.66
2022-08-19 19:06:07;2.76
2022-08-19 21:06:07;2.83
2022-08-19 23:06:07;2.96
2022-08-20 01:06:07;2.5
2022-08-20 03:06:11;2.34
2022-08-20 05:06:11;1.72
2022-08-20 07:06:11;1.64
2022-08-20 09:06:10;2.12
2022-08-20 11:06:08;2.58
2022-08-20 13:06:08;2.54
2022-08-20 15:06:07;2.57
2022-08-20 17:06:07;2.67
2022-08-20 19:06:07;2.63
2022-08-20 21:06:07;2.78
2022-08-20 23:06:08;2.86
2022-08-21 01:06:07;2.84
2022-08-21 03:06:11;2.15
2022-08-21 05:06:11;1.68
2022-08-21 07:06:11;1.47
2022-08-21 09:06:10;2.11
2022-08-21 11:06:09;2.65
2022-08-21 13:06:08;2.8
2022-08-21 15:06:07;2.68
2022-08-21 17:06:07;2.67
2022-08-21 19:06:07;2.69
2022-08-21 21:06:07;2.92
2022-08-21 23:06:07;2.98
2022-08-22 01:06:07;2.62
2022-08-22 03:06:11;1.99
2022-08-22 05:06:10;1.53
2022-08-22 07:06:10;1.66
2022-08-22 09:06:09;2.11
2022-08-22 11:06:09;2.69
2022-08-22 13:06:08;2.61
2022-08-22 15:06:08;2.6
2022-08-22 17:06:07;2.79
2022-08-22 19:06:07;2.72
2022-08-22 21:06:07;2.88
2022-08-22 23:06:07;2.78
2022-08-23 01:06:06;2.83
2022-08-23 03:06:11;2.01
2022-08-23 05:06:10;1.79
2022-08-23 07:06:10;2.05
2022-08-23 09:06:10;2.06
2022-08-23 11:06:08;2.5
2022-08-23 13:06:07;2.41
2022-08-23 15:06:07;2.66
2022-08-23 17:06:07;2.53
2022-08-23 19:06:07;2.72
2022-08-23 21:06:07;2.84
2022-08-23 23:06:07;2.98
2022-08-24 01:06:07;2.56
2022-08-24 03:06:10;2.08
2022-08-24 05:06:10;1.53
2022-08-24 07:06:10;1.76
2022-08-24 09:06:09;1.91
2022-08-24 11:06:08;2.3
2022-08-24 13:06:07;2.55
2022-08-24 15:06:07;2.63
2022-08-24 17:06:06;2.67
2022-08-24 19:06:07;2.53
2022-08-24 21:06:07;2.9
2022-08-24 23:06:07;2.93
2022-08-25 01:06:07;2.78
2022-08-25 03:06:11;2.15
2022-08-25 05:06:10;1.89
2022-08-25 07:06:10;1.82
2022-08-25 09:06:08;1.92
